crop_size,method,f1_mean,f1_std,mAP50_mean,mAP50_std,mAP75_mean,mAP75_std,mAP_mean,mAP_std,precision_mean,precision_std,recall_mean,recall_std
3000,sahi_greedy_nmm,0.8205592956707046,0.024014907448515276,0.8338389422165419,0.017351442423276246,0.6520750514651904,0.05788872352488118,0.5437909534838153,0.04172334028886492,0.7753634378940916,0.05766263391685533,0.8744772137733451,0.02425695824980856
3000,sahi_lsnms,0.82065761303917,0.024540196686955586,0.8341060037773431,0.022649327581067264,0.639952442406538,0.0452436564818233,0.5348987685919492,0.042993004167295686,0.7753985062335179,0.05659430642007323,0.8746477218875254,0.028001794799452275
3000,sahi_nmm,0.8228014471298165,0.02595468423982652,0.8342722098286345,0.01753504532229046,0.6522443632165774,0.05803967241348638,0.5439934832665096,0.041825625457080455,0.7795289689918908,0.06069245246445757,0.8744772137733451,0.02425695824980856
3000,sahi_nms,0.82065761303917,0.024540196686955586,0.8341060037773431,0.022649327581067264,0.639952442406538,0.0452436564818233,0.5348987685919492,0.042993004167295686,0.7753985062335179,0.05659430642007323,0.8746477218875254,0.028001794799452275
3000,smm,0.8487179232311184,0.020378262703985652,0.8481139576960636,0.024442452285480705,0.641355479595202,0.075850998726518,0.5445731581811579,0.04666483227111783,0.8264060643893599,0.05117820522272045,0.8744772137733451,0.02425695824980856
3000,spm_global,0.8630922795534887,0.02256363601606368,0.8458471792415622,0.02395829785163481,0.6669678630449601,0.0632955722775456,0.5613784108366361,0.04984996719700084,0.8624084603185406,0.04698585020793754,0.8652064655563754,0.023827025211091934
3000,spm_seam_only,0.8599224918356979,0.02352846383762959,0.8459684400527762,0.02374958921722052,0.6673723907666371,0.06343930643978983,0.5623029568384793,0.05013086001724368,0.8562185876139364,0.048964375498231925,0.8652064655563754,0.023827025211091934
5000,sahi_greedy_nmm,0.8263075102495495,0.03179287475490873,0.8692828868034647,0.004300270986981792,0.6743210141304073,0.05213306808391217,0.5773873513060065,0.02581251741431559,0.7527622102090188,0.057343856172386194,0.9182004837582314,0.007768041337016614
5000,sahi_lsnms,0.8209963140483162,0.02381821195945818,0.8511926754897918,0.025228286104729977,0.6249947069678815,0.07948082652374346,0.5467776457953691,0.04582737123846837,0.7477435094456371,0.04999380939328764,0.9125760279096005,0.016796301885198067
5000,sahi_nmm,0.8280599220551604,0.03267238426221025,0.8678662354084475,0.00743458369328052,0.6751004282149085,0.05143353929521129,0.5776770880633748,0.025376325281496245,0.7563862307482819,0.05991087865489895,0.9173992017069491,0.008912844481242967
5000,sahi_nms,0.8209963140483162,0.02381821195945818,0.8511926754897918,0.025228286104729977,0.6249947069678815,0.07948082652374346,0.5467776457953691,0.04582737123846837,0.7477435094456371,0.04999380939328764,0.9125760279096005,0.016796301885198067
5000,smm,0.8619032869173302,0.036063317405611174,0.8904046801577795,0.0038388123920181116,0.6664260191362764,0.04839784000485392,0.5764622505428464,0.01999830164387326,0.8200091745347672,0.0687592365615704,0.910890921409214,0.005300245747699774
5000,spm_global,0.8751927419994207,0.028075130017281652,0.879309604395083,0.009599625064411426,0.6887694100517372,0.05319076351880676,0.5872947730055671,0.027186943406666553,0.8590270040112897,0.06571635835220617,0.8947088560252118,0.01747418356922172
5000,spm_seam_only,0.8746249331182502,0.02925853115872187,0.8827205659282792,0.00913736805362863,0.691963965262199,0.05117727120776999,0.5898628030699883,0.02812504954841093,0.8550639186372267,0.06721965837410601,0.8979531478007088,0.01652522906852496
10000,sahi_greedy_nmm,0.837815398701626,0.0077446277005824,0.859193154382219,0.004622447555114268,0.6582293705520041,0.004163330582932635,0.564117147964355,0.004934060347944226,0.7734216695278585,0.013435089528222699,0.91401269093511,0.001745249200529711
10000,sahi_lsnms,0.8303753898685614,0.009619146600326582,0.838038223298066,0.009227410189249007,0.5910713404128815,0.01741192198584021,0.5286589303646742,0.006952164869396889,0.7665637349596327,0.015155911935128013,0.9058818020350348,0.002051883310811108
10000,sahi_nmm,0.8390902062974446,0.006929959096601158,0.8603659293402846,0.004424089717019118,0.6589241914605511,0.003838501208148298,0.5637205793681987,0.004747118955022206,0.7769015519832977,0.012734730586998087,0.9122049344907825,0.0012831620258594953
10000,sahi_nms,0.8303753898685614,0.009619146600326582,0.838038223298066,0.009227410189249007,0.5910699023605795,0.017409472036409582,0.5286585349002911,0.006951488720026898,0.7665637349596327,0.015155911935128013,0.9058818020350348,0.002051883310811108
10000,spm_global,0.8858563309813832,0.005768773633018743,0.8683652708260817,0.006696259716321492,0.6724488874263278,0.010247702786918328,0.5753948188214862,0.011114365148895671,0.8896041101490108,0.007533248393282716,0.8821691431648953,0.007018024932945387
10000,spm_seam_only,0.8835915385946304,0.004981432060565847,0.87138363217527,0.009938878373188605,0.6755512534004126,0.008832336306594366,0.5790959351814466,0.013317136299290893,0.8788388912443273,0.008138535611927004,0.8884615851625578,0.008353255438341771
20000,sahi_greedy_nmm,0.8305332348530584,0.0025474788489614673,0.8602169020503915,0.009919093791310375,0.6972609498605884,0.015668996627438155,0.5866877471521259,0.009657985555049117,0.7537904302151337,0.002561800128821125,0.9247123601746634,0.00774546982682788
20000,sahi_lsnms,0.8186726192542455,0.003220337542248698,0.8339177059658955,0.01515648367543531,0.6150137238055452,0.019245041724391395,0.5377613751841658,0.01094213978055325,0.7430222644180001,0.0013901531878294504,0.9115120435080669,0.008812137711043829
20000,sahi_nmm,0.8324230355467966,0.002788522994631101,0.8594986113523362,0.013433535757629515,0.6986560429150778,0.016113754489249406,0.5871645338468238,0.009913062312189998,0.7574690646545391,0.00213084271840292,0.9238793495730809,0.008245778506950654
20000,sahi_nms,0.8186726192542455,0.003220337542248698,0.8339177059658955,0.01515648367543531,0.6150137238055452,0.019245041724391395,0.5377609505563136,0.01094274212982111,0.7430222644180001,0.0013901531878294504,0.9115120435080669,0.008812137711043829
20000,spm_global,0.8933519552840222,0.0014128152547662526,0.8870181972877641,0.01114303205937665,0.7176994432309742,0.01852052877179181,0.6067248576533611,0.01070665033849131,0.8839633910752682,0.007652024524692232,0.9030559919947952,0.009814298732831165
20000,spm_seam_only,0.8904109064019256,0.0020282639394705723,0.8963048415219975,0.011113873027152027,0.7236465776603777,0.018348984086661774,0.6127284091663275,0.010980237599669382,0.8708624491339613,0.008024851547224694,0.9109682563276196,0.009336956900848853
50000,sahi_greedy_nmm,0.8035991950006153,0.02592432510733871,0.8407540527845591,0.03207651290020249,0.690702603825975,0.04097671299541808,0.5779615522657258,0.02900705918974304,0.7137496465980709,0.029676729027978858,0.9194955827507026,0.019112976942976746
